" ""Customer Code""",User Name,Password,Attempts,User Type,Email
100010,Spi,1238,3,customer,jxllc@gmail.com
100011,dogg,1234,0,customer,dog@gmail.com
100012,Shamory,11111111111,3,customer,cat@cat.com
100013,taaa,1234,0,customer,ta@gmail.com
100014,aaaa,1234,0,customer,aa@gmail.com
100017,0,,3,customer,kim@gmail.com
100018,kopip,789,3,customer,dwayneaitkelllllln111@gmail.com
100019,kopii,lol,3,customer,dwayneaitmmmmmken111@gmail.com
0,dog,just,3,,jxlc@gmail.com
0,dogppp,,3,,jxlppc@gmail.com
0,dogpppoo,just,3,,jxpppplppc@gmail.com
0,dogpppoopool,just,3,admin,jxppppopooplppc@gmail.com
7777,tom,yyy,3,admin,jxyyyllc@gmail.com
7777777,tommm,yyy,3,admin,jxyytttyllc@gmail.com
  ,,,,,
,,,,,
  ,,,,,
