 "Customer Code","User Name",Password,Attempts,"User Type",Email
100010,Spi,1238,3,worker,jxllc@gmail.com,
100011,dogg,1234,0,customer,dog@gmail.com,
100012,Shamory,11111111111,3,customer,cat@cat.com,
100013,taaa,1234,0,customer,ta@gmail.com,
100014,aaaa,1234,0,customer,aa@gmail.com,
100017,0,,3,customer,kim@gmail.com,
100018,,789,3,customer,dwayneaitkelllllln111@gmail.com,3PJrZmJ.png
100019,jonnnnnnpppppppppppp,grant,3,customer,dwayneaitmmmmmken111@gmail.com,Capture.PNG
7777,tom,yyy,0,admin,jxyyyllc@gmail.com,
7777777,tommm,yyy,2,admin,jxyytttyllc@gmail.com,
100015,ppppppp,456456,3,customer,Dwayneaitken111@gmail.com,defaultimg.jpg
100016,kopip,908,1,customer,pppp111@gmail.com,defaultimg.jpg
100017,kopipooo,789,3,customer,kkijjjhhg@yahhoo.com,defaultimg.jpg
100018,kopippp,111111,3,customer,Dwayneaitkeooooooooooon111@gmail.com,defaultimg.jpg
100019,kopik,123,0,customer,kopi@gmail.com,defaultimg.jpg
100020,tommy,123,3,customer,huhujjhh@gmail.com,defaultimg.jpg
100021,wayne,43dd5461ea090b1115a4,0,customer,waynebrown@gmail.com,defaultimg.jpg
12345,admin,admin,3,admin,jxllcllll@gmail.com,
  

  
